Estabelecimentos encontrados: 262
Tempo DOM: 0.1611s
Tempo SAX: 0.0571s


Estabelecimentos encontrados:

Lat: -12.9816831, Lgt: -38.4592021, Tipo: clothes, Nome: Costa Tropical
Lat: -12.9793279, Lgt: -38.4575919, Tipo: restaurant, Nome: Urban Sushi
Lat: -12.9787563, Lgt: -38.4537958, Tipo: household_linen, Nome: Artex
Lat: -12.9780185, Lgt: -38.4551151, Tipo: jewelry, Nome: Swarovski
Lat: -12.9785569, Lgt: -38.4540100, Tipo: clothes, Nome: Via Veneto
Lat: -12.9785988, Lgt: -38.4544839, Tipo: clothes, Nome: Brooksfield
Lat: -12.9785953, Lgt: -38.4540297, Tipo: shoes, Nome: Sergio's
Lat: -12.9784629, Lgt: -38.4541352, Tipo: beauty, Nome: Esmaltale
Lat: -12.9780710, Lgt: -38.4552816, Tipo: restaurant, Nome: Cantina Volpi
Lat: -12.9791437, Lgt: -38.4539840, Tipo: chocolate, Nome: Dengo
Lat: -12.9790511, Lgt: -38.4550116, Tipo: fast_food, Nome: Beiju Mix
Lat: -12.9775207, Lgt: -38.4555014, Tipo: cosmetics, Nome: Mahogany
Lat: -12.9781349, Lgt: -38.4556624, Tipo: beauty, Nome: Depyl Action
Lat: -12.9783440, Lgt: -38.4556945, Tipo: household_linen, Nome: MMartan
Lat: -12.9787118, Lgt: -38.4545472, Tipo: fast_food, Nome: Cazolita
Lat: -12.9787310, Lgt: -38.4547127, Tipo: furniture, Nome: MadeiraMadeira
Lat: -12.9785690, Lgt: -38.4547998, Tipo: optician, Nome: Óticas Pupila
Lat: -12.9778611, Lgt: -38.4550816, Tipo: fast_food, Nome: Oakberry Açaí bowls
Lat: -12.9781213, Lgt: -38.4546962, Tipo: optician, Nome: Ray-Ban
Lat: -12.9778988, Lgt: -38.4557250, Tipo: clothes, Nome: Hope
Lat: -12.9777086, Lgt: -38.4547829, Tipo: restaurant, Nome: 33
Lat: -12.9779610, Lgt: -38.4546549, Tipo: restaurant, Nome: Camarada
Lat: -12.9822537, Lgt: -38.4579305, Tipo: wine, Nome: Vai Vinho
Lat: -12.9822798, Lgt: -38.4580173, Tipo: restaurant, Nome: Fira
Lat: -12.9825729, Lgt: -38.4584558, Tipo: furniture, Nome: Florense
Lat: -12.9825819, Lgt: -38.4578722, Tipo: hairdresser, Nome: Keiko Cabeleireiros
